CustomerID,Name,Age,Gender,City,AccountType,KYCStatus,JoinDate,ExtraColumn
CUS0001,Dylan Orr,34,male,Despite,Current,Social,06/14/2023,EXTRA_DATA
CUS0002,Michael Villegas,75,female,Food,Fixed,Nearly,31-10-2022,EXTRA_DATA
CUS0003,  Marcus Pitts  ,76,Male,Threat,Fixed,Thought,2022-03-03,EXTRA_DATA
CUS0004,Victoria Wu,25,M,Herself,Fixed,Card,11/20/2022,EXTRA_DATA
CUS0005,Kimberly Lambert,72,FEMALE,Goal,Current,Hold,05/13/2024,EXTRA_DATA
CUS0006,Destiny Cox,0,Female,Difference,Savings,Fly,09/07/2022,EXTRA_DATA
CUS0007,Brandon Johnston,150,female,Customer,NRI,Level,2023-12-15,EXTRA_DATA
CUS0008,James Wiley,58,female,Only,NRI,Should,09-03-2024,EXTRA_DATA
CUS0009,Brittany Medina,77,male,Effort,Savings,Back,2023-03-12,EXTRA_DATA
CUS0010,Kelly Baldwin,38,Female,Enter,Fixed,Statement,02/10/2022,EXTRA_DATA
CUS0011,  Jamie Allen  ,38,Other,Voice,Fixed,Least,03/07/2022,EXTRA_DATA
CUS0012,Adam Franklin,50,FEMALE,Add,NRI,Listen,18/12/2022,EXTRA_DATA
CUS0013,Arthur Johnson,79,male,Watch,Savings,Player,08/18/2022,EXTRA_DATA
CUS0014,Katherine Harvey,41,FEMALE,Actually,Fixed,Language,28-04-2022,EXTRA_DATA
CUS0015,Nichole Baker,76,female,Question,Savings,Enough,20/05/2024,EXTRA_DATA
CUS0016,  James Hoffman  ,36,M,Voice,NRI,Their,18/10/2023,EXTRA_DATA
CUS0017,Penny Brown,49,Male,Conference,Fixed,Nearly,10/02/2022,EXTRA_DATA
CUS0018,Amanda Alvarez,69,Other,College,Fixed,Grow,10/11/2024,EXTRA_DATA
CUS0019,Jason Evans,71,M,Enjoy,Savings,Central,11/30/2022,EXTRA_DATA
CUS0020,Steven Mcguire,19,m,Exist,Current,Billion,14/12/2024,EXTRA_DATA
CUS0021,Mitchell Evans,52,male,At,NRI,Develop,09/11/2024,EXTRA_DATA
CUS0022,Tyler Castillo,Sixty Five,Male,Study,Fixed,Everyone,17/05/2023,EXTRA_DATA
CUS0023,Amy Baker,25,MALE,Available,NRI,Itself,2022-05-26,EXTRA_DATA
CUS0024,Nicholas Wilson,44,FEMALE,Community,Savings,White,2024-08-16,EXTRA_DATA
CUS0025,  Peter Coleman  ,36,FEMALE,Fact,NRI,Day,21/06/2023,EXTRA_DATA
CUS0026,Stephen Woods,56,MALE,Film,Current,Reflect,12/21/2024,EXTRA_DATA
CUS0027,Richard Farmer,77,MALE,Significant,Fixed,If,09/05/2024,EXTRA_DATA
CUS0028,Jeffrey Walls,0,Female,According,Nri,Sort,24/12/2024,EXTRA_DATA
CUS0029,  Sandra Anderson  ,57,Other,With,Savings,To,2023-01-11,EXTRA_DATA
CUS0030,Robert Douglas,30,Male,Sell,Current,Safe,04/01/2024,EXTRA_DATA
CUS0031,Brittany Anderson,50,m,Big,Savings,Chair,2024-07-22,EXTRA_DATA
CUS0032,Cameron Allen,80,female,Set,NRI,Among,14-12-2022,EXTRA_DATA
CUS0033,John Adkins,39,M,Behind,Current,Letter,2023-05-14,EXTRA_DATA
CUS0034,Gene Thompson,77,Other,Loss,Current,Writer,12/02/2022,EXTRA_DATA
CUS0035,Sergio Lloyd,Sixty Five,male,Part,Savings,Suffer,08/03/2022,EXTRA_DATA
CUS0036,Norman Hunt,22,Male,Phone,Current,Back,05/05/2022,EXTRA_DATA
CUS0037,Kaitlyn Franklin,51,Female,Paper,Nri,Although,09/01/2023,EXTRA_DATA
CUS0038,Megan Leon,74,Female,Administration,Fixed,About,07/26/2023,EXTRA_DATA
CUS0039,David Cook,75,Other,Discussion,Current,Ground,13/02/2022,EXTRA_DATA
CUS0040,Lori Kramer,74,Other,Whatever,Savings,Moment,26-04-2023,EXTRA_DATA
CUS0041,Laurie Mcdaniel,48,M,Town,Current,Stop,11/02/2022,EXTRA_DATA
CUS0042,Tricia Lozano,67,F,Town,NRI,How,11/19/2024,EXTRA_DATA
CUS0043,  Roy Ibarra  ,54,Female,Also,Fixed,Election,17/10/2022,EXTRA_DATA
CUS0044,Richard Hogan,19,m,Second,Fixed,Good,16/05/2022,EXTRA_DATA
CUS0045,Adam Ball,40,M,Vote,fixed,For,2023-11-04,EXTRA_DATA
CUS0046,Sara Clark,78,Other,Wait,Savings,Determine,09/06/2024,EXTRA_DATA
CUS0047,James Peters,77,MALE,Know,Current,Modern,2024-04-10,EXTRA_DATA
CUS0048,  Angela Phelps  ,26,MALE,Admit,Savings,Cold,2024-04-19,EXTRA_DATA
CUS0049,Bianca Ross,70,M,Much,NRI,Today,02/14/2023,EXTRA_DATA
CUS0050,Troy Gordon,32,MALE,Paper,Savings,He,21-01-2023,EXTRA_DATA
CUS0051,Alexandria Bishop,52,FEMALE,Program,NRI,Enjoy,08/08/2022,EXTRA_DATA
CUS0052,Danielle Pruitt,19,male,Page,Fixed,Citizen,2022-03-05,EXTRA_DATA
CUS0053,Michael Hughes,54,m,Wind,Savings,Girl,2023-07-06,EXTRA_DATA
CUS0054,Melanie Murphy,67,Other,Today,Fixed,Letter,08-08-2024,EXTRA_DATA
CUS0001,Stephanie Long,30,m,Detail,Savings,Physical,2022-05-25,EXTRA_DATA
CUS0056,Brian Martinez,70,FEMALE,Foreign,NRI,Themselves,2023-08-12,EXTRA_DATA
CUS0057,Brandon Garcia,150,m,How,Savings,Area,05/07/2023,EXTRA_DATA
CUS0058,James Riley,37,male,Conference,Savings,Nation,2022-03-09,EXTRA_DATA
CUS0059,James Murphy,34,Other,Work,Current,My,08-01-2024,EXTRA_DATA
CUS0060,Alicia Willis,49,male,Tonight,Fixed,Stage,19-11-2022,EXTRA_DATA
CUS0061,Sarah Williams,77,Male,Bring,Current,Reason,14/04/2022,EXTRA_DATA
CUS0062,Tyler Richardson,24,MALE,Similar,Savings,Worker,24/08/2024,EXTRA_DATA
CUS0063,James Barber,20,female,Deep,Savings,West,15-03-2024,EXTRA_DATA
CUS0064,Ashley Thomas,35,MALE,Near,Current,Very,10/02/2023,EXTRA_DATA
CUS0065,Mary Morris,66,Female,Direction,Fixed,Card,10/07/2024,EXTRA_DATA
CUS0066,Pamela Harris,72,Other,Sell,NRI,Do,12-10-2023,EXTRA_DATA
CUS0067,Ryan Schroeder,61,female,Claim,NRI,Performance,03/29/2024,EXTRA_DATA
CUS0068,Shawna Huff,56,M,Type,Savings,Thousand,06/01/2022,EXTRA_DATA
CUS0069,Michaela Gardner,0,Other,Down,Current,Then,2023-05-04,EXTRA_DATA
CUS0070,Vanessa Sparks,75,Female,Forward,NRI,In,09/17/2022,EXTRA_DATA
CUS0071,Michael Bowman,72,F,Trouble,Current,Travel,2024-09-21,EXTRA_DATA
CUS0072,Andrea Quinn,27,female,New,NRI,Artist,04/07/2022,EXTRA_DATA
INVALID_65,  Kristie Stephens  ,44,m,Entire,Current,Expect,02-01-2023,EXTRA_DATA
CUS0074,Erin Ellis,26,Female,Not,Savings,Huge,04/12/2022,EXTRA_DATA
CUS0075,Austin Moore,44,male,All,Savings,College,2023-03-19,EXTRA_DATA
CUS0076,Angela Robbins,77,M,Under,Fixed,Weight,30-10-2024,EXTRA_DATA
CUS0077,Eric Quinn,48,F,Race,Savings,Interview,2022-06-28,EXTRA_DATA
