FacultyID,Name,Specialization,CampusID,JoinDate
FAC0001,Even,Lecturer,CAM0011,2022-07-10
FAC0002,Effort,Professor,CAM0015,2024-01-06
FAC0003,Easy,Assistant Professor,CAM0005,12/01/2024
FAC0004,Commercial,Assistant professor,CAM0017,20/01/2022
FAC0005,Law,Professor,CAM0010,23-03-2022
FAC0006,Level,associate professor,CAM0010,2022-08-26
FAC0007,Artist,Professor,CAM0020,11/22/2022
FAC0008,Talk,Associate professor,CAM0016,05/26/2023
FAC0009,These,Professor,CAM0016,11-12-2023
FAC0010,Structure,Professor,CAM0014,05/03/2022
FAC0011,Development,Lecturer,CAM0012,2022-12-18
FAC0012,Fight,Associate Professor,CAM0009,22-09-2024
FAC0013,As,lecturer,CAM0013,04/12/2022
FAC0014,Cost,Associate Professor,CAM0006,15-03-2022
FAC0015,First,Professor,CAM0003,2023-07-19
FAC0016,Only,Associate Professor,CAM0007,29/08/2023
FAC0017,Event,ASSISTANT PROFESSOR,CAM0016,17-06-2023
FAC0018,Point,Professor,CAM0018,06/10/2022
FAC0019,Chair,Professor,CAM0002,2023-03-04
FAC0020,Seem,Lecturer,CAM0012,08/02/2023
FAC0021,Course,Assistant Professor,CAM0014,16-07-2022
FAC0022,Really,Professor,CAM0019,08/12/2024
FAC0023,Rich,Professor,CAM0001,2023-05-09
FAC0024,Mean,Lecturer,CAM0002,02/11/2024
FAC0025,Election,Lecturer,CAM0015,05/21/2023
FAC0026,Call,Lecturer,CAM0019,25-03-2022
FAC0027,Garden,Lecturer,CAM0006,2024-09-26
FAC0028,Author,Professor,CAM0019,2024-05-14
FAC0029,Happy,Associate Professor,CAM0002,27-01-2022
FAC0030,Training,Professor,CAM0007,01-01-2023
FAC0031,Mention,Lecturer,CAM0008,2024-04-28
FAC0032,Heavy,Professor,CAM0010,14/08/2024
FAC0033,Make,Assistant Professor,CAM0016,2023-05-16
FAC0034,Hit,Assistant Professor,CAM0012,2023-12-07
FAC0035,Price,ASSISTANT PROFESSOR,CAM0009,2022-04-05
FAC0036,Party,Professor,CAM0008,2022-06-15
FAC0037,Whose,Professor,CAM0017,19/07/2024
FAC0038,Soldier,Assistant Professor,CAM0016,12/21/2024
FAC0039,Eye,Associate Professor,CAM0009,2023-11-15
FAC0040,Prepare,lecturer,CAM0002,2024-06-13
FAC0041,Against,Professor,CAM0008,06/02/2023
FAC0042,Opportunity,Professor,CAM0017,01-04-2023
FAC0043,Fly,Associate Professor,CAM0004,05/30/2024
FAC0044,Lawyer,Associate Professor,CAM0018,10/09/2024
FAC0045,Card,Lecturer,CAM0001,26-09-2022
FAC0046,Ground,Assistant professor,CAM0013,18-02-2023
FAC0047,Less,Associate Professor,CAM0020,08/09/2023
FAC0048,Part,lecturer,CAM0005,03-06-2023
FAC0049,Local,Professor,CAM0019,2022-11-10
FAC0050,Note,Assistant Professor,CAM0016,03/05/2023
FAC0051,Billion,Assistant Professor,CAM9999,2024-02-29
FAC0052,Area,Lecturer,CAM0001,2023-03-19
FAC0053,Fact,Assistant Professor,CAM0018,10/29/2024
FAC0054,Agent,Lecturer,CAM0003,02/12/2023
FAC0055,Series,Associate Professor,CAM0017,05/23/2022
FAC0056,Factor,Assistant professor,CAM0013,2024-08-27
FAC0057,Keep,PROFESSOR,CAM0017,30-05-2024
FAC0058,We,Associate Professor,CAM0001,03/07/2022
FAC0059,Do,Professor,CAM0018,12-09-2024
FAC0060,Beat,Assistant Professor,CAM0011,17-02-2023
FAC0061,Down,Associate Professor,CAM0016,01/14/2023
FAC0062,Language,Assistant Professor,CAM0007,2022-02-07
FAC0063,Hair,Associate Professor,CAM0001,06-02-2024
FAC0064,Modern,Professor,CAM0020,2022-02-03
FAC0065,Quite,Lecturer,CAM0007,11/26/2022
FAC0066,Much,lecturer,CAM0020,2024-06-10
FAC0067,Section,Assistant Professor,CAM0005,2022-11-13
FAC0068,Down,Associate professor,CAM0009,27-12-2022
FAC0069,In,Associate Professor,CAM0001,19-03-2024
FAC0070,Although,Lecturer,CAM0019,09/12/2024
FAC0071,State,Lecturer,CAM0014,07/08/2022
INVALID_47,House,Lecturer,CAM0005,2024-10-05
FAC0073,True,Associate Professor,CAM0018,02-05-2023
FAC0074,Success,Associate Professor,CAM0014,2024-08-25
FAC0075,Though,Professor,CAM0008,21-09-2023
FAC0076,Forward,Associate Professor,CAM0016,19-09-2024
FAC0048,Career,Assistant Professor,CAM0005,02/11/2022
FAC0078,Realize,Assistant Professor,CAM0015,2023-05-29
INVALID_46,Summer,Professor,CAM0019,12-04-2024
FAC0080,Serious,Professor,CAM0016,27-10-2024
FAC0081,Meeting,Professor,CAM0002,2023-09-15
FAC0082,South,assistant professor,CAM0020,12/08/2024
FAC0083,Indicate,professor,CAM0005,01/12/2024
FAC0084,Model,Associate professor,CAM0001,26-03-2024
FAC0085,Road,Associate Professor,CAM0014,13-05-2024
FAC0086,Believe,Associate Professor,CAM0016,10/29/2022
FAC0087,Believe,Professor,CAM0019,2023-11-07
FAC0088,Peace,Associate Professor,CAM0013,2023-05-01
FAC0089,Newspaper,Assistant Professor,CAM0011,10/02/2022
FAC0090,Clear,Associate Professor,CAM9999,2023-04-21
FAC0091,Hand,Lecturer,CAM0003,01/27/2023
FAC0092,Federal,Associate Professor,CAM0011,05/07/2024
FAC0093,Notice,associate professor,CAM0011,05/20/2022
FAC0094,Guy,Assistant Professor,CAM0010,14-01-2022
FAC0095,Commercial,Associate Professor,CAM0009,27-05-2023
FAC0096,Former,Assistant Professor,CAM0001,26-08-2022
FAC0097,Decision,Professor,CAM0003,2024-05-15
FAC0098,Likely,Professor,CAM0018,24/04/2022
FAC0099,Half,Assistant Professor,CAM0010,12/03/2023
FAC0100,Those,Professor,CAM0005,2024-01-06
FAC0101,Another,Assistant Professor,CAM0002,26-02-2023
INVALID_13,Whatever,Professor,CAM0007,04/02/2024
FAC0078,None,Assistant Professor,CAM0005,06/06/2023
FAC0104,By,Professor,CAM0011,28-01-2023
FAC0105,Toward,Assistant Professor,CAM0009,03/01/2023
FAC0106,Good,Assistant Professor,CAM0012,2024-09-12
FAC0107,Fine,Professor,CAM0003,12/04/2024
FAC0108,Upon,Professor,CAM0010,05-12-2024
FAC0109,Develop,Lecturer,CAM0006,12/24/2022
FAC0110,You,Professor,CAM0015,12-07-2022
FAC0111,Require,Lecturer,CAM0017,2024-06-15
FAC0112,Positive,Associate Professor,CAM0017,07/02/2023
FAC0113,Wonder,Associate Professor,CAM0017,02/06/2022
FAC0114,Economy,Associate Professor,CAM0010,2022-01-09
FAC0115,Environment,Lecturer,CAM0003,2024-08-29
FAC0116,Bag,Associate Professor,CAM0011,23/05/2023
FAC0117,Phone,Lecturer,CAM0010,2022-08-24
FAC0118,But,Assistant Professor,CAM0004,2022-01-09
FAC0119,New,Associate Professor,CAM0010,07-04-2022
FAC0120,Foot,Lecturer,CAM0002,24-02-2024
INVALID_49,Weight,Associate Professor,CAM0012,21-04-2024
FAC0122,Painting,Lecturer,CAM0012,2023-12-09
FAC0053,Type,Professor,CAM0006,17-10-2022
FAC0124,He,LECTURER,CAM0020,01-05-2022
FAC0125,Land,Lecturer,CAM0011,2022-09-01
FAC0126,Age,Lecturer,CAM0012,06/05/2023
FAC0127,Early,Assistant Professor,CAM0007,2024-11-24
FAC0128,Control,Associate Professor,CAM0017,2023-08-08
FAC0129,Attorney,Assistant Professor,CAM0005,07-01-2022
FAC0130,Not,Professor,CAM0017,21-10-2022
FAC0131,Human,lecturer,CAM0014,2024-10-11
FAC0132,Court,Assistant Professor,CAM0014,15/04/2024
FAC0133,Allow,Assistant Professor,CAM0011,05/03/2023
FAC0134,Across,Assistant Professor,CAM0020,2023-10-05
FAC0135,Nor,ASSOCIATE PROFESSOR,CAM0004,08-12-2023
FAC0136,A,Professor,CAM0013,2023-04-07
FAC0137,Yes,Lecturer,CAM0002,01-12-2023
FAC0138,Drive,Professor,CAM0013,03-09-2024
FAC0139,Effect,Associate Professor,CAM0006,2023-01-19
FAC0140,Front,Lecturer,CAM0015,12/23/2023
FAC0141,Second,Associate Professor,CAM0003,2023-04-17
FAC0142,Herself,Assistant Professor,CAM0008,09/26/2024
FAC0143,Good,Professor,CAM0004,02/04/2022
FAC0144,Matter,Associate Professor,CAM0007,10-09-2022
FAC0145,Nearly,Lecturer,CAM0006,04/12/2024
FAC0146,Charge,Assistant Professor,CAM0020,2022-04-21
FAC0147,Upon,Professor,CAM0002,28/04/2024
FAC0148,Life,Professor,CAM0006,18-05-2023
FAC0149,Same,Associate Professor,CAM0008,23-03-2024
FAC0150,Fact,professor,CAM0009,21/04/2023
FAC0151,Particular,Associate Professor,CAM0018,01/04/2022
FAC0152,Into,Lecturer,CAM0019,29-10-2022
FAC0153,Case,Associate Professor,CAM0009,2022-10-23
FAC0154,Quite,Lecturer,CAM0014,2022-04-06
FAC0155,Also,Professor,CAM0018,03/27/2022
FAC0156,East,Associate Professor,CAM0013,04/02/2023
FAC0031,Table,Lecturer,CAM0011,05/06/2022
FAC0158,Side,Lecturer,CAM0006,04/11/2023
FAC0159,Rule,PROFESSOR,CAM0020,09/05/2023
FAC0160,She,Lecturer,CAM0004,26-12-2024
