StudentID,Name,Age,Gender,EnrollmentDate,CourseID,HospitalID,Status,ExtraColumn
STU0001,Tracey Cannon,44,m,20/10/2022,COU0007,HOS0007,Dropped,EXTRA_DATA
STU0002,  Karina Martinez  ,67,Male,2023-08-11,COU0001,HOS0016,Active,EXTRA_DATA
STU0003,Brenda Dixon,-5,Female,2024-09-22,COU0008,HOS0014,Dropped,EXTRA_DATA
STU0004,Mark Newman,68,MALE,28/11/2023,COU0011,HOS0015,Suspended,EXTRA_DATA
STU0005,Melinda Craig,57,FEMALE,19-09-2022,COU0004,HOS0008,Active,EXTRA_DATA
STU0006,  Daniel Copeland  ,150,male,08/06/2024,COU0012,HOS0020,Active,EXTRA_DATA
STU0007,Sherry Briggs,40,female,03/08/2022,COU0014,HOS0011,Active,EXTRA_DATA
STU0008,Maria Mejia,74,Male,13-12-2023,COU0007,HOS0020,Dropped,EXTRA_DATA
STU0009,Kimberly Church,53,Other,09-07-2023,COU0003,HOS0003,Active,EXTRA_DATA
STU0010,Michael Herrera,21,MALE,2023-01-27,COU9999,HOS0005,Active,EXTRA_DATA
STU0011,Carol Bailey,65,Male,2022-07-03,COU0020,HOS0001,ACTIVE,EXTRA_DATA
STU0012,Jon Rivera,48,MALE,08-05-2022,COU0018,HOS0020,Graduated,EXTRA_DATA
STU0013,Matthew Williams,41,Other,10/03/2024,COU9999,HOS0006,Suspended,EXTRA_DATA
STU0014,  Sarah Murray  ,35,MALE,2023-05-11,COU0020,HOS0014,dropped,EXTRA_DATA
STU0015,Anthony Matthews,46,Other,2022-12-07,COU0005,HOS0007,Graduated,EXTRA_DATA
STU0016,Mary Bird,21,M,05/16/2023,COU0016,HOS0013,Active,EXTRA_DATA
STU0017,Bradley Johnston,77,Female,2024-06-08,COU0014,HOS0016,Graduated,EXTRA_DATA
STU0018,Margaret Jackson,71,m,29/05/2024,COU0005,HOS0015,GRADUATED,EXTRA_DATA
STU0019,Sarah Hampton,79,Other,26/06/2023,COU0001,HOS0005,Suspended,EXTRA_DATA
STU0020,Tony Brooks,24,F,06/02/2024,COU0003,HOS0011,Graduated,EXTRA_DATA
STU0021,  Jeremiah Graves  ,50,Other,19/03/2024,COU0014,HOS0015,Active,EXTRA_DATA
STU0022,Jonathon Miranda,23,female,20-06-2024,COU0018,HOS0007,Suspended,EXTRA_DATA
STU0023,Edward Shaw,80,Female,2024-07-03,COU0008,HOS0001,Dropped,EXTRA_DATA
STU0024,Lauren Smith,19,F,12/10/2024,COU0015,HOS0016,Dropped,EXTRA_DATA
STU0025,Kevin Ray,27,m,05/26/2023,COU0018,HOS0015,Dropped,EXTRA_DATA
STU0026,Jon Green,54,Other,2022-02-27,COU0006,HOS0017,Graduated,EXTRA_DATA
STU0027,Mark Welch,47,female,2022-08-13,COU0011,HOS0017,GRADUATED,EXTRA_DATA
STU0028,Rhonda Price,Thirty Four,Female,11/07/2024,COU0015,HOS0007,dropped,EXTRA_DATA
STU0029,Cheyenne Nelson,42,female,05-05-2022,COU0014,HOS0015,Graduated,EXTRA_DATA
STU0030,Samantha Jordan,Twenty,Male,07/29/2024,COU0007,HOS0019,Active,EXTRA_DATA
STU0031,Paul Williams,66,female,04/13/2023,COU0019,HOS0005,Active,EXTRA_DATA
STU0032,  Charles Miller  ,Thirty Four,m,2022-11-24,COU0020,HOS0013,Suspended,EXTRA_DATA
STU0033,Kyle Young,23,MALE,2024-10-16,COU0020,HOS0011,Graduated,EXTRA_DATA
STU0034,Jonathan Jones,50,male,10/18/2023,COU0019,HOS0014,Dropped,EXTRA_DATA
STU0035,Randall Chaney,50,M,2024-12-27,COU0018,HOS0016,Dropped,EXTRA_DATA
STU0036,Charles Lee,61,m,26/07/2024,COU0020,HOS0004,Active,EXTRA_DATA
STU0037,Eric Duncan,38,F,08/09/2024,COU0020,HOS0009,ACTIVE,EXTRA_DATA
STU0004,Elizabeth Schaefer,31,Male,09/06/2023,COU0012,HOS0020,Suspended,EXTRA_DATA
STU0039,  Joshua Farmer  ,42,Male,10/06/2023,COU0005,HOS0015,Dropped,EXTRA_DATA
STU0040,John Green,150,m,29-09-2023,COU0002,HOS0010,Suspended,EXTRA_DATA
STU0041,  Brandon Conley  ,29,Female,15/04/2023,COU0016,HOS0020,Active,EXTRA_DATA
STU0042,Joshua Carpenter,Twenty,m,10-08-2023,COU0016,HOS0008,Active,EXTRA_DATA
INVALID_42,  Collin Rose  ,43,Female,15-02-2023,COU0020,HOS0006,Graduated,EXTRA_DATA
STU0044,Samantha Adams,31,F,11/22/2023,COU0015,HOS0014,Active,EXTRA_DATA
STU0045,Caroline Lopez,62,Other,23-09-2022,COU0003,HOS0013,Dropped,EXTRA_DATA
STU0046,Mark Cook,72,M,2022-05-19,COU0005,HOS0019,Suspended,EXTRA_DATA
STU0047,Joshua Powell,47,F,01-04-2024,COU0019,HOS0009,Active,EXTRA_DATA
STU0048,Sean Davis,50,F,16-02-2023,COU0006,HOS0006,Suspended,EXTRA_DATA
STU0049,William White,38,m,03/24/2024,COU0009,HOS0012,Suspended,EXTRA_DATA
STU0050,Ashley Fletcher,30,Other,22-12-2023,COU0010,HOS0014,Graduated,EXTRA_DATA
STU0051,Michael Trujillo,28,F,2024-08-14,COU0019,HOS0002,Dropped,EXTRA_DATA
STU0052,Robin Jones,26,Male,31/01/2022,COU0010,HOS0017,Active,EXTRA_DATA
STU0053,Scott Franco,57,M,01/04/2022,COU0012,HOS0012,ACTIVE,EXTRA_DATA
STU0054,Juan Johnson,51,F,2024-01-13,COU0017,HOS0005,Graduated,EXTRA_DATA
STU0055,Shawn Giles,77,Male,01/30/2024,COU0001,HOS0004,Active,EXTRA_DATA
STU0056,Daniel Hensley,30,F,07/07/2024,COU0014,HOS0002,Dropped,EXTRA_DATA
STU0057,Vincent Dixon,55,m,20-12-2023,COU0016,HOS0010,Graduated,EXTRA_DATA
STU0058,Jacob Atkinson,18,Male,31-03-2023,COU0014,HOS0019,Suspended,EXTRA_DATA
STU0002,Kendra Petersen,44,m,05/17/2022,COU0001,HOS0013,Dropped,EXTRA_DATA
STU0060,Ashley Horne,75,Other,12/11/2024,COU0011,HOS0018,Suspended,EXTRA_DATA
STU0061,Elizabeth White,46,m,04-10-2024,COU0008,HOS0007,Suspended,EXTRA_DATA
STU0062,Philip Hodge,62,Male,12/06/2023,COU0011,HOS0009,Active,EXTRA_DATA
STU0063,Janice Larson,33,MALE,18/12/2023,COU0013,HOS0001,Graduated,EXTRA_DATA
STU0064,Lawrence Anderson,68,Male,30/09/2023,COU0007,HOS0005,Dropped,EXTRA_DATA
STU0065,Sandra Adams,48,M,2024-11-27,COU0013,HOS0006,Active,EXTRA_DATA
STU0066,Rebecca Cole,57,female,05/06/2023,COU0009,HOS0019,Dropped,EXTRA_DATA
STU0067,  Jackie Wilson  ,39,FEMALE,17/06/2022,COU0002,HOS0012,Graduated,EXTRA_DATA
STU0068,David Weber,36,female,03/24/2024,COU0018,HOS9999,Graduated,EXTRA_DATA
STU0069,Victor Williamson,76,Male,16/01/2024,COU0020,HOS0012,Suspended,EXTRA_DATA
STU0070,Diane Edwards,69,Other,02/13/2022,COU0009,HOS0012,Dropped,EXTRA_DATA
STU0071,Abigail Johnson,34,male,30-04-2023,COU0005,HOS0006,Dropped,EXTRA_DATA
STU0072,  Nancy Thomas  ,44,MALE,2024-02-16,COU0018,HOS0011,Graduated,EXTRA_DATA
STU0073,Isaiah Taylor,42,MALE,10/08/2024,COU0020,HOS0020,Graduated,EXTRA_DATA
STU0074,Alexander Christian,47,m,01/06/2024,COU0017,HOS0018,Suspended,EXTRA_DATA
STU0075,Katie Adams,45,MALE,2023-02-14,COU0011,HOS0015,Active,EXTRA_DATA
STU0076,Kyle Curtis,73,F,08-03-2023,COU0002,HOS0004,Dropped,EXTRA_DATA
STU0077,Holly Moore,39,FEMALE,06/06/2022,COU0009,HOS0007,Graduated,EXTRA_DATA
STU0078,Marie Burnett,67,M,2024-06-25,COU0011,HOS0020,Graduated,EXTRA_DATA
STU0079,Elizabeth Johnson,58,female,12/10/2023,COU0003,HOS0008,Suspended,EXTRA_DATA
STU0080,Brent Garcia,80,male,07-06-2024,COU0011,HOS0010,Suspended,EXTRA_DATA
STU0081,Holly Garrett,Thirty Four,Other,26-02-2024,COU0001,HOS0019,suspended,EXTRA_DATA
STU0082,  Joseph Barrett  ,30,M,03/04/2023,COU0005,HOS0017,Dropped,EXTRA_DATA
STU0083,Andrew Mitchell,0,Female,09/24/2023,COU0017,HOS0016,Graduated,EXTRA_DATA
STU0084,Destiny Gonzalez,150,FEMALE,15/12/2022,COU0002,HOS9999,Dropped,EXTRA_DATA
STU0085,Christopher Tran,40,M,28/04/2022,COU0003,HOS0009,active,EXTRA_DATA
STU0086,Larry Williams,19,MALE,23-03-2022,COU0011,HOS0011,Suspended,EXTRA_DATA
STU0087,Jennifer Park,21,Female,24-03-2023,COU0006,HOS0016,Active,EXTRA_DATA
STU0088,Franklin Williams,55,m,2022-05-29,COU0008,HOS9999,Active,EXTRA_DATA
STU0089,  Dean Werner  ,18,Female,08/29/2022,COU0006,HOS0004,Dropped,EXTRA_DATA
STU0090,Laura James,62,F,12/08/2022,COU0015,HOS0014,Dropped,EXTRA_DATA
STU0091,Mark Gutierrez,31,FEMALE,2023-04-03,COU0001,HOS0018,Graduated,EXTRA_DATA
