DoctorID,Name,Specialization,HospitalID
DOC0001,From,Pediatrics,HOS0016
DOC0002,Investment,Pediatrics,HOS0004
DOC0003,National,Pediatrics,HOS0007
DOC0004,Accept,NEUROLOGY,HOS0016
DOC0005,Animal,Cardiology,HOS0015
INVALID_70,Them,General Medicine,HOS0001
DOC0007,Fall,Cardiology,HOS0020
DOC0008,Around,Neurology,HOS0007
DOC0009,Prepare,Orthopedics,HOS0010
DOC0010,Against,Neurology,HOS0006
DOC0011,A,Cardiology,HOS0017
DOC0012,Could,Neurology,HOS0006
DOC0013,Outside,Cardiology,HOS0005
DOC0014,Face,General Medicine,HOS0020
DOC0015,Actually,Oncology,HOS0016
DOC0016,Partner,Cardiology,HOS0001
DOC0017,Message,General Medicine,HOS0004
DOC0018,Now,Cardiology,HOS0009
DOC0019,Address,Oncology,HOS0008
DOC0020,Find,Oncology,HOS0012
DOC0021,Southern,Cardiology,HOS9999
DOC0022,Professional,General Medicine,HOS0004
INVALID_65,Network,Cardiology,HOS0002
DOC0024,Vote,PEDIATRICS,HOS0013
DOC0025,Room,Orthopedics,HOS0002
DOC0026,Also,Neurology,HOS0015
DOC0027,Agent,ONCOLOGY,HOS0012
DOC0028,Blood,General Medicine,HOS0014
DOC0029,Since,General Medicine,HOS0001
DOC0030,Rock,Oncology,HOS0015
DOC0031,Top,Oncology,HOS0018
DOC0032,Stuff,Orthopedics,HOS0011
DOC0033,Keep,Neurology,HOS0019
DOC0034,Change,Cardiology,HOS0003
DOC0035,Difficult,Cardiology,HOS0001
DOC0036,Nation,Orthopedics,HOS0020
DOC0037,Growth,Oncology,HOS0011
DOC0035,Election,Oncology,HOS9999
INVALID_19,Tough,Pediatrics,HOS0007
DOC0040,Begin,Orthopedics,HOS0003
DOC0041,Perform,Cardiology,HOS0014
DOC0042,Onto,Cardiology,HOS0006
DOC0043,Those,Neurology,HOS0011
DOC0044,Successful,Neurology,HOS0014
DOC0045,Far,Cardiology,HOS0006
DOC0046,Wait,Oncology,HOS0015
DOC0047,Represent,Oncology,HOS0017
DOC0048,Dream,Neurology,HOS0016
DOC0049,Perhaps,Pediatrics,HOS0010
DOC0050,Than,Orthopedics,HOS0018
DOC0051,Bit,General Medicine,HOS0003
DOC0052,Avoid,Cardiology,HOS0007
DOC0053,Offer,General Medicine,HOS0014
DOC0054,Third,General Medicine,HOS0015
DOC0055,Into,Orthopedics,HOS9999
DOC0056,Federal,Orthopedics,HOS0011
DOC0057,Kitchen,Orthopedics,HOS0007
DOC0058,Hotel,Oncology,HOS0012
DOC0059,Happy,pediatrics,HOS0002
DOC0060,Style,General Medicine,HOS0010
DOC0061,Activity,Cardiology,HOS0003
DOC0062,Into,General Medicine,HOS0014
