AgentID,Name,Region,Specialization,HireDate,TotalPoliciesSold
AGE0001,Worry,North,Majority,16-01-2023,239
AGE0002,Successful,West,Little,02/10/2023,84
AGE0003,Born,East,His,10-12-2022,271
AGE0004,Most,North,Assume,30-12-2023,126
AGE0005,Public,Central,Story,08-10-2023,236
AGE0006,Rock,Central,Tell,01/10/2022,245
AGE0007,World,Central,Program,27-08-2024,131
AGE0008,Draw,North,Shoulder,25-12-2023,276
AGE0009,Specific,North,Science,2024-05-11,68
AGE0010,Simply,West,Black,25/08/2023,273
AGE0011,Ten,South,Avoid,24-03-2024,85
AGE0012,Pressure,West,Miss,03/30/2023,40
AGE0013,Fast,North,Social,19/12/2024,165
AGE0014,Community,West,Think,12/09/2024,150
AGE0015,Establish,West,Food,11/02/2024,-1
AGE0016,Decade,North,Growth,2024-08-28,229
AGE0017,Party,south,Red,01/01/2023,254
AGE0018,Suffer,North,Occur,31-05-2023,264
INVALID_61,Other,Central,Deal,05/16/2022,156
AGE0002,Activity,South,White,2023-01-27,216
AGE0021,Need,South,Front,19-10-2022,167
AGE0022,Vote,Central,Scientist,26/01/2024,240
AGE0023,Let,South,Clear,2024-02-08,192
AGE0024,Rock,South,Help,2022-10-19,226
AGE0025,Other,South,Low,28-07-2024,252
AGE0026,System,West,Serious,08/09/2024,147
AGE0027,Fact,West,Executive,2022-04-06,61
AGE0028,Manage,Central,Rich,08-03-2023,12
AGE0029,Entire,Central,Cause,21/11/2023,297
AGE0030,Sport,Central,Service,14-09-2023,283
AGE0031,Every,West,Each,11/13/2022,20
AGE0032,Require,Central,Country,2024-06-17,137
AGE0033,Society,South,Physical,24-10-2022,183
AGE0034,His,West,Economic,21-07-2022,45
AGE0035,Sometimes,East,Eight,2023-02-24,250
AGE0036,Collection,North,He,23-06-2023,259
AGE0030,Real,West,Agency,03/03/2022,188
AGE0038,Brother,Central,Bring,2024-09-11,256
AGE0039,Everyone,East,Great,2023-02-19,286
AGE0040,Age,South,Occur,20-04-2022,191
AGE0041,Media,North,Also,2022-11-07,120
AGE0042,Teach,South,Find,19/10/2023,22
AGE0043,Movie,East,Sense,05/10/2024,10
AGE0044,Begin,East,Visit,2024-03-23,129
AGE0045,Benefit,West,Certainly,02-06-2024,186
AGE0046,Behavior,South,Expect,2023-02-16,94
AGE0047,Fast,Central,Often,06/11/2024,207
AGE0048,Trip,West,Make,22/09/2024,57
AGE0049,Night,Central,Gun,03/10/2022,235
AGE0050,Pick,East,Age,08/22/2022,88
AGE0051,Occur,Central,Produce,2023-08-21,9999
AGE0052,Bad,North,Impact,2023-05-11,224
AGE0053,Company,NORTH,Now,14/08/2024,17
AGE0015,Itself,South,Sound,18-11-2024,298
AGE0055,Sing,West,Chair,07/09/2023,171
AGE0056,Law,West,Decision,09-11-2022,181
AGE0057,Brother,East,Receive,2023-11-08,164
AGE0058,Best,North,Bank,12/04/2024,119
AGE0059,Reason,East,Should,06-04-2023,67
AGE0060,Front,North,Tend,2023-01-24,63
AGE0061,Other,South,Effect,29-10-2024,54
AGE0062,Financial,Central,Line,09/05/2023,168
AGE0063,East,East,Plant,2024-05-18,129
AGE0064,Week,west,Wide,06/10/2024,33
AGE0065,Action,East,Road,02-05-2022,75
AGE0066,Church,South,Yard,20-08-2023,43
AGE0067,Road,North,She,07/10/2023,217
AGE0068,Industry,South,Develop,25-02-2023,137
AGE0069,Thus,North,Section,10/16/2024,7
AGE0070,Low,Central,Push,20-11-2024,285
AGE0071,South,South,Item,04-05-2022,189
AGE0072,Dream,South,Yeah,2024-07-07,291
AGE0073,World,East,Type,2024-11-10,0
AGE0074,Pretty,Central,Space,13/11/2022,263
AGE0075,Maybe,North,Home,18-08-2023,284
AGE0076,Support,North,Tend,31-08-2023,185
AGE0077,Cup,Central,Season,2023-10-11,276
AGE0078,Computer,West,Movement,09/10/2024,283
AGE0079,Ability,Central,Skill,2022-03-17,196
AGE0080,Agent,North,Find,11-05-2024,274
AGE0081,Mouth,Central,Eat,11/25/2023,297
AGE0082,Less,East,Year,07/03/2024,144
AGE0083,Job,South,Stop,2024-01-13,58
AGE0084,Message,East,Provide,03/20/2024,20
AGE0085,Your,West,Indicate,2023-09-13,111
AGE0086,Tough,Central,Shoulder,29/11/2022,80
AGE0087,Now,Central,Free,06/25/2022,44
AGE0088,Base,North,Paper,18/08/2022,232
AGE0089,Only,Central,Way,2024-05-27,100
AGE0090,Fund,East,Safe,11/01/2022,72
AGE0091,Society,Central,Animal,04/10/2023,86
AGE0092,Writer,North,Away,2022-02-28,237
AGE0093,Friend,Central,Husband,01-02-2024,137
AGE0094,Game,Central,Money,2022-12-08,225
AGE0095,Relate,East,Plant,2024-05-06,114
AGE0096,Dark,East,Second,02/01/2023,110
AGE0097,Just,North,Statement,03/01/2024,127
