CustomerID,Name,Age,Gender,City,JoinDate,ExtraColumn
CUS0001,John Davis,49,M,Bangalore,2023-10-17,EXTRA_DATA
CUS0002,Ralph Swanson,42,FEMALE,Delhi,04-10-2022,EXTRA_DATA
CUS0003,Eric Brennan,52,Female,Chennai,26/09/2022,EXTRA_DATA
CUS0004,Michelle Mcmahon,47,MALE,Mumbai,02/07/2024,EXTRA_DATA
CUS0005,Miguel Coleman,52,Male,Hyderabad,2024-11-25,EXTRA_DATA
CUS0006,George Jackson,70,Male,Chennai,09/10/2024,EXTRA_DATA
CUS0007,Lauren Thomas,20,MALE,Bangalore,2023-04-06,EXTRA_DATA
CUS0008,Lisa Mcdaniel,64,Female,Bangalore,10/10/2024,EXTRA_DATA
CUS0009,Jasmine Hunt,54,male,Mumbai,07/03/2023,EXTRA_DATA
CUS0010,Chad Dunn,55,Female,Bangalore,21/05/2022,EXTRA_DATA
CUS0011,Frank Tate,29,MALE,Chennai,10/11/2023,EXTRA_DATA
CUS0012,Douglas Davis,0,Other,Bangalore,22-09-2022,EXTRA_DATA
CUS0013,John Rogers,37,FEMALE,Chennai,09/30/2022,EXTRA_DATA
CUS0014,Dalton Cabrera,55,Male,Chennai,06-05-2022,EXTRA_DATA
CUS0015,Taylor Ferguson,37,Female,Mumbai,05/20/2024,EXTRA_DATA
CUS0016,Jeffery James,71,Other,Delhi,08-09-2022,EXTRA_DATA
CUS0017,Erin Stein,77,Female,Mumbai,09-09-2022,EXTRA_DATA
CUS0018,Courtney Combs,44,Other,Hyderabad,2023-03-08,EXTRA_DATA
CUS0019,Kenneth Copeland,36,Male,Mumbai,06-01-2022,EXTRA_DATA
CUS0020,Carrie Nelson,63,F,Hyderabad,31-08-2024,EXTRA_DATA
CUS0021,Gary Lee,52,Male,Hyderabad,12/08/2023,EXTRA_DATA
CUS0022,Cheryl Hayes,66,Male,Delhi,2024-02-23,EXTRA_DATA
CUS0023,Brooke Parsons,67,M,Hyderabad,2024-11-11,EXTRA_DATA
CUS0024,  Lisa Melendez  ,74,M,Hyderabad,13/07/2024,EXTRA_DATA
CUS0025,Kimberly Richmond,22,male,Delhi,07/05/2023,EXTRA_DATA
CUS0026,Denise Stone,27,female,Chennai,07-11-2024,EXTRA_DATA
CUS0027,David Green,42,Female,Mumbai,09/08/2023,EXTRA_DATA
CUS0028,Jonathan Webster,77,M,Delhi,05/11/2024,EXTRA_DATA
CUS0026,Felicia Barrett,43,FEMALE,Chennai,10/16/2022,EXTRA_DATA
CUS0030,  Jill Booth  ,63,M,Mumbai,03/28/2023,EXTRA_DATA
CUS0031,Theresa Taylor,44,FEMALE,Chennai,2022-05-09,EXTRA_DATA
CUS0032,Carolyn Hughes,23,male,Hyderabad,21-11-2022,EXTRA_DATA
CUS0033,Kathryn Leblanc,23,F,Bangalore,06/06/2022,EXTRA_DATA
CUS0034,William Robinson,48,M,Mumbai,2022-10-29,EXTRA_DATA
CUS0035,Caroline Farmer,18,Other,Mumbai,10/11/2022,EXTRA_DATA
CUS0036,Paul Alexander,31,M,Chennai,2024-02-14,EXTRA_DATA
CUS0037,  Molly Benjamin  ,77,male,Bangalore,30-01-2024,EXTRA_DATA
CUS0038,Daniel Moore,28,male,Delhi,02/20/2023,EXTRA_DATA
CUS0039,Stacy Peterson,67,FEMALE,Hyderabad,27/08/2023,EXTRA_DATA
