DriverID,Name,LicenseNo,VehicleType,Region,JoinDate
DRI0001,Pass,Behind,Van,Production,10-09-2022
DRI0002,Perhaps,There,Truck,Wear,25/07/2022
DRI0003,Share,Unit,Van,Life,02-08-2022
DRI0004,Often,Reach,Van,Ready,09/12/2024
DRI0005,Account,Leg,Truck,Final,11/01/2023
DRI0006,Option,Conference,Truck,Measure,2024-11-22
DRI0007,Someone,Something,Truck,Population,2023-11-14
DRI0008,Road,Involve,Van,Last,2023-09-08
DRI0009,Student,Debate,Bike,Blood,21/10/2022
DRI0010,Opportunity,History,Truck,Brother,2024-08-31
DRI0011,Least,Bit,Truck,Ball,31/01/2022
DRI0012,Idea,Blue,Bike,Player,29/10/2023
DRI0013,Or,Artist,Bike,Prevent,24/11/2022
DRI0014,Forget,Industry,Bike,Early,18-11-2023
DRI0015,Purpose,Example,Van,Success,2024-04-18
DRI0016,Improve,Stop,Container,Group,2022-09-01
DRI0017,Possible,Section,Bike,Under,2022-05-09
DRI0018,Anything,Water,Truck,Run,26-04-2022
DRI0019,Wall,Ready,Bike,Teacher,12/02/2022
DRI0020,High,Ask,Bike,Fish,06/24/2022
DRI0021,Already,Control,Van,Challenge,10-11-2022
DRI0022,Hope,Bed,Van,Dog,16/09/2024
DRI0023,Attack,Would,Van,Movie,07/03/2024
DRI0024,Fall,Probably,Truck,Within,02/16/2023
DRI0025,Animal,Hit,Van,Picture,2023-11-20
DRI0026,Evening,Participant,Container,Position,17/08/2024
DRI0027,Policy,Son,Container,Few,05/19/2022
DRI0028,Nor,Song,Truck,Seat,25-01-2024
INVALID_79,Structure,Hand,Bike,Should,08/16/2023
DRI0030,Beyond,On,Bike,Finally,2023-11-16
DRI0031,State,American,Truck,Window,03/03/2023
DRI0032,Force,Listen,Truck,Often,09/16/2022
DRI0033,Fly,Professional,Container,Career,04/07/2023
DRI0034,Student,Apply,Van,Month,12/14/2023
DRI0035,Suggest,Out,Van,Practice,10-09-2022
DRI0036,Religious,Before,Bike,Audience,09/09/2024
DRI0037,Smile,Benefit,Van,Nearly,18/06/2024
DRI0038,Enter,Community,Van,Way,2023-09-08
DRI0039,Available,Campaign,Truck,Go,29/01/2024
DRI0040,Past,City,Truck,Suddenly,10/05/2024
DRI0041,Result,Former,Container,Situation,2024-07-31
DRI0042,Society,Standard,Container,Force,22/10/2023
DRI0043,Open,Strong,Container,On,15-04-2024
DRI0044,Establish,Source,Truck,Word,2024-06-03
DRI0045,Leg,Have,Van,Happen,18/11/2023
DRI0046,Most,Evidence,Truck,People,2023-12-05
DRI0047,Indeed,Political,BIKE,Cause,18/07/2024
DRI0048,Energy,Say,Bike,Bad,22-11-2023
DRI0027,Happy,Eye,Container,Big,03/15/2024
DRI0050,Bring,Indicate,Van,Become,25-11-2022
DRI0051,Condition,Support,Container,Open,2024-08-04
DRI0052,Pick,Quickly,Bike,Popular,18-12-2023
