WorkerID|Name|Shift|LineID|JoinDate|HourlyWage|AttendancePct
WOR0001|  Mitchell Foster  |Evening|LIN0001|12-04-2022||8532.14
WOR0002|  Melissa Bailey  |Morning|LIN0009|06/04/2024|14480.2|31818.41
WOR0003|Megan Wilson|Morning|LIN0007|2022-05-29|9264.42|2712.92
WOR0004|Alexander Avery|night|LIN9999|2024-10-05|40295.07|Five Hundred
WOR0005|Tyler Coleman|Evening|LIN0002|2023-07-16|45470.01|28643.86
WOR0006|  Ruth Skinner  |Night|LIN0009|10/02/2023|28007.27|35462.93
WOR0007|Donald Walker|Evening|LIN0003|27-01-2022||19649.17
WOR0008|William Martinez|Night|LIN0011|2023-01-01|40132.84|30310.66
WOR0009|Jasmine Nelson|Evening|LIN0005|2024-03-19|28539.02|14554.04
WOR0010|  Sandra Gray  |Night|LIN0008|04/12/2022|3885.16|45294.03
WOR0011|Amy Henderson|Morning|LIN0014|2023-09-18|47278.49|49742.14
WOR0012|Dwayne Gallegos|MORNING|LIN0001|2022-12-18|38112.83|7542.72
WOR0013|Amber Gentry|Morning|LIN0004|2024-01-09||47186.61
WOR0011|Chelsea Perry|Evening|LIN0007|01/01/2024||7521.96
WOR0015|  Hector Ellis  |Morning|LIN0003|06/21/2024|6194.33|41947.46
WOR0016|Carol Page|Evening|LIN0018|01/07/2023|8968.64|4190.59
WOR0017|Brandon Mahoney|Night|LIN0020|13-07-2024|1971.29|Five Hundred
WOR0018|  Louis Hall  |Night|LIN0019|24/03/2024|12674.94|807.58
WOR0019|Meghan Lopez|Evening|LIN0010|03/04/2023|22370.38|15940.74
WOR0020|Bradley Williams|Evening|LIN0001|01-02-2024|21756.97|4227.12
WOR0021|Dennis Reed|Night|LIN0014|04/01/2024|28653.06|13129.62
INVALID_26|Marc Grant|Night|LIN0020|12-02-2022|32126.4|21514.47
WOR0023|Alan Howell|Morning|LIN0019|07/01/2023|Five Hundred|43228.57
WOR0024|Stephanie Nichols|Morning|LIN0004|2022-08-07|23981.73|36075.88
WOR0025|  John Joseph  |Evening|LIN0005|08/31/2023|39003.08|
WOR0026|Miguel Rios|Evening|LIN0013|05/03/2023|49752.18|34229.2
WOR0027|Anthony Sanchez|Morning|LIN0019|26/06/2022|46280.8|48149.88
WOR0028|Patricia Sanchez|Morning|LIN0015|12-02-2024|40622.42|21672.32
WOR0029|Felicia Young|Night|LIN0020|06/24/2022|11032.86|38551.86
WOR0030|Justin Garcia|Morning|LIN0019|2022-04-04|29526.07|25389.89
WOR0031|William Phillips|Evening|LIN0012|07/22/2023|2209.29|19550.56
WOR0032|Matthew Avery|Morning|LIN0007|03/04/2022|35840.31|26953.31
WOR0033|Janice Wilson|Evening|LIN0005|09/18/2023|49213.92|34814.13
WOR0034|John Vasquez|Night|LIN0020|06/03/2022|33544.83|-1425.96
WOR0035|Angela Little|Night|LIN0003|09/16/2024|15641.64|12615.12
WOR0036|Sean Scott|Evening|LIN0001|09/12/2024|-981.36|2772.08
WOR0037|Maria Ashley|Night|LIN0009|2024-10-18|4912.49|29437.85
WOR0038|Samuel Sherman|Morning|LIN9999|13/09/2023|12752.23|28642.38
WOR0039|David Lloyd|Morning|LIN0015|2024-03-15|26345.4|34336.34
WOR0040|Brooke Wolfe|Night|LIN0009|2024-04-22|6598.7|26814.25
WOR0041|Amber Benson|Night|LIN0016|13-08-2024|49307.96|
WOR0032|Dana Harris|Evening|LIN0018|2023-04-25|11115.13|17739.75
WOR0043|  Michelle Chavez  |Evening|LIN0008|2024-05-10|39909.64|40470.59
WOR0044|  Denise Rodriguez  |Morning|LIN0010|2024-07-18|27574.18|14261.06
WOR0045|Victor Nunez|Night|LIN0011|12/29/2022|38434.0|46310.09
WOR0046|  Peggy Harvey  |Night|LIN0015|2022-12-27|24027.53|38232.27
WOR0047|Cameron Ross|Night|LIN0006|2024-12-05|38482.03|39246.32
WOR0048|Willie Elliott|Night|LIN0019|23-12-2024|28171.45|16838.29
WOR0049|Meghan Trujillo|EVENING|LIN0014|01/09/2023|42524.79|27778.83
WOR0050|Stephanie Aguilar|Evening|LIN0014|06/16/2022|29903.93|20766.52
WOR0051|Kaitlyn Anderson|Night|LIN0007|12/05/2023|30669.14|41649.5
WOR0052|Adrian Kelley|Morning|LIN0007|2022-06-23|11241.02|1820.07
WOR0053|Tina Jones|Night|LIN0016|2022-08-10|42102.3|11124.8
WOR0054|Kim Melton|Evening|LIN0004|26-11-2022|-1504.5|41818.88
WOR0055|Christopher Gonzales|Night|LIN0014|30/01/2023|49193.13|21552.67
WOR0056|Wayne Pierce|Night|LIN0009|2024-05-17|41550.17|5741.94
WOR0057|Joseph Horn|Night|LIN0014|30/10/2024|4048.57|11021.85
WOR0058|Tim Preston|Evening|LIN0010|2023-06-30|40178.4|
WOR0059|Vincent Daniels|Evening|LIN0002|17/07/2024|34430.29|21741.12
