CustomerID,Name,Email,City,JoinDate,LoyaltyTier
CUS0001,Cheyenne Thornton,Another,Area,08/12/2022,Gold
CUS0002,Brandon Gutierrez,Cover,Authority,18/12/2023,Gold
CUS0003,Stephanie Morales,Production,Including,10/07/2023,Gold
CUS0004,Timothy Baker,City,Certainly,13-05-2022,Bronze
CUS0005,Kimberly Wilson,Hot,Continue,08-07-2023,Gold
CUS0006,David Cervantes,Message,Nice,02/02/2023,Gold
CUS0007,Jennifer Williams,Sit,Memory,12/23/2023,Bronze
CUS0008,Gary Ellis,Technology,Water,15/09/2024,Bronze
CUS0009,Mark Garcia,Billion,Artist,12-02-2022,Gold
CUS0010,Stephanie Nguyen,Good,His,05/29/2022,SILVER
CUS0005,Troy Hill,Her,Space,23-02-2022,Gold
CUS0012,  Linda Smith  ,Industry,Suddenly,2023-11-13,Gold
CUS0013,Tina Johnson,Trouble,Bad,06-06-2022,Bronze
INVALID_89,Kyle Hunt,Yet,Over,2022-08-08,bronze
CUS0015,John Hawkins,Use,Skill,2023-02-24,Gold
CUS0016,  Evelyn Michael  ,Rule,Method,02/15/2022,Gold
CUS0017,Heather Kennedy,Bag,Class,29-09-2023,Silver
CUS0018,Christopher Rogers,Recent,Address,09-06-2022,Gold
CUS0019,Connor Neal,Environment,Long,2022-02-26,Gold
CUS0020,Stacey Elliott,National,Investment,12/15/2024,gold
CUS0021,David Lambert,Discuss,Gun,2024-06-28,Bronze
CUS0022,Marilyn Ward,Safe,Event,04/07/2023,Bronze
CUS0023,Victoria Thomas,Enter,Low,2023-02-04,Gold
CUS0024,Terrence Williams,Last,Available,2023-10-20,Bronze
CUS0025,  Robert Lewis  ,Analysis,Indeed,2023-04-13,Bronze
CUS0026,Angela Coffey,Organization,While,2024-02-26,Silver
CUS0027,Jamie Holmes,Computer,Easy,07/10/2024,Gold
CUS0028,Tiffany Robertson,Amount,To,28/11/2023,Silver
CUS0029,Matthew Martinez,Fly,Point,01/08/2022,Bronze
CUS0030,Kevin Nash,Themselves,Baby,19-01-2022,Gold
CUS0031,Nicholas Moss,Ok,Culture,2022-07-13,Bronze
CUS0032,Gregory Gibson,Our,Business,04-08-2023,Silver
CUS0033,Cristian Alvarez,Term,Upon,06/22/2022,Bronze
CUS0034,Jessica Carrillo,Spring,Building,11/05/2024,Silver
INVALID_39,  Jennifer Clayton  ,Kid,Record,04/23/2022,Gold
CUS0036,Steven Richardson,Everything,Property,07-11-2022,Gold
CUS0037,Dawn Harper,Share,Throughout,13/10/2022,Silver
CUS0038,Michael Trevino,Hot,Available,09/05/2024,Bronze
INVALID_87,  Edward Guerra  ,Apply,Yourself,05-12-2022,Silver
CUS0040,William Drake,National,Join,09/23/2024,Gold
INVALID_83,Jacob Woods,No,Girl,19/12/2022,Silver
CUS0042,Kayla Wilson,Parent,Spring,28-11-2024,Silver
CUS0043,Javier Hicks,Know,Power,05/23/2022,Gold
CUS0044,James Taylor,First,Seven,04/06/2022,Bronze
CUS0031,  Dillon Swanson  ,Body,Marriage,21/10/2024,Silver
CUS0046,James Jackson,Admit,Lead,2023-05-04,Bronze
CUS0047,Maria Downs,Leader,Protect,25-08-2024,Bronze
CUS0048,Sara Brady,Test,Lot,03/12/2024,Gold
CUS0049,Brandon Walters,Hand,Attention,2022-12-01,Silver
CUS0009,Carlos Anderson,Take,Executive,2024-05-04,Silver
CUS0051,Tracy Snyder,Improve,Attack,21/01/2024,Gold
CUS0052,Marcia Clark,Blood,Property,2023-10-03,Gold
CUS0053,Rachel Beltran,Wide,Couple,04/24/2023,Bronze
CUS0054,Billy Wagner,Heart,Machine,01/15/2024,Silver
CUS0055,Lisa Ramsey,Technology,Person,15-01-2024,Gold
CUS0056,  Matthew Brown  ,Also,Capital,12/21/2023,GOLD
CUS0057,Edward Weaver,Baby,Require,07-05-2024,Gold
CUS0028,Michael Brown,Cell,Just,2023-05-17,Silver
CUS0059,Debra Gomez,Amount,Anything,2022-04-27,Gold
CUS0060,Deborah Anderson,Mean,Job,09/24/2022,Bronze
CUS0061,Thomas Velazquez,Opportunity,Dinner,2022-03-30,Silver
CUS0062,Yesenia Rodriguez,Nature,Something,2024-05-04,Silver
CUS0063,Sarah Anderson,Grow,Machine,15-07-2024,Bronze
CUS0064,Angela Simon,Seem,Far,2023-08-02,Silver
CUS0065,Ashley Hogan,Answer,Today,2022-09-19,Bronze
CUS0066,Heidi Munoz,Field,Could,02/26/2022,Bronze
CUS0067,Marcus Manning,Ball,Race,2022-07-18,Silver
CUS0068,Kenneth Chaney,Just,Week,28-08-2024,Bronze
CUS0069,Nicole Abbott,Often,Street,07-04-2024,SILVER
CUS0019,Mary Campos,Discuss,Throw,12-05-2023,Bronze
CUS0003,Steven Walker,Nice,Court,19/03/2023,Gold
CUS0072,Scott Johnson,Skin,Yourself,03/01/2022,Bronze
CUS0073,Melissa Diaz,Know,Interesting,10-12-2024,Gold
CUS0074,Stacy Morrison,Keep,Alone,2024-02-26,Silver
CUS0075,Tammy Gonzalez,Must,Deal,04-04-2024,Gold
